Para la k 5 la media cuadrada de los errores es: 0.599616
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 14 15 jaccard sm 0.38 jaccard directo 0.256305 error relativo 0.482608
 documentos 14 16 jaccard sm 0.38 jaccard directo 0.23378 error relativo 0.625456
 documentos 14 17 jaccard sm 0.41 jaccard directo 0.224731 error relativo 0.824398
 documentos 14 18 jaccard sm 0.36 jaccard directo 0.231516 error relativo 0.554963
 documentos 14 19 jaccard sm 0.36 jaccard directo 0.245528 error relativo 0.466223
 documentos 15 16 jaccard sm 0.43 jaccard directo 0.250341 error relativo 0.717655
 documentos 15 17 jaccard sm 0.38 jaccard directo 0.226094 error relativo 0.680714
 documentos 15 18 jaccard sm 0.43 jaccard directo 0.230582 error relativo 0.864844
 documentos 15 19 jaccard sm 0.43 jaccard directo 0.241594 error relativo 0.77984
 documentos 16 17 jaccard sm 0.35 jaccard directo 0.213848 error relativo 0.636672
 documentos 16 18 jaccard sm 0.43 jaccard directo 0.243464 error relativo 0.766171
 documentos 16 19 jaccard sm 0.39 jaccard directo 0.244048 error relativo 0.598046
 documentos 17 18 jaccard sm 0.43 jaccard directo 0.223606 error relativo 0.923023
 documentos 17 19 jaccard sm 0.34 jaccard directo 0.237966 error relativo 0.428775
 documentos 18 19 jaccard sm 0.41 jaccard directo 0.246583 error relativo 0.662725
total elapsed 0.915 seconds
Candidatos según LSH constantes k 5 r 2 t 0.1
 documentos 0 1 jaccard sm 0.4 jaccard directo 0.247614 error relativo 0.615416
 documentos 0 2 jaccard sm 0.43 jaccard directo 0.244505 error relativo 0.758649
 documentos 0 3 jaccard sm 0.41 jaccard directo 0.252486 error relativo 0.623849
 documentos 0 4 jaccard sm 0.4 jaccard directo 0.244809 error relativo 0.633926
 documentos 0 5 jaccard sm 0.38 jaccard directo 0.253587 error relativo 0.498496
 documentos 0 6 jaccard sm 0.41 jaccard directo 0.261294 error relativo 0.569112
 documentos 0 7 jaccard sm 0.42 jaccard directo 0.248766 error relativo 0.688332
 documentos 0 8 jaccard sm 0.36 jaccard directo 0.26137 error relativo 0.377357
 documentos 0 9 jaccard sm 0.37 jaccard directo 0.236835 error relativo 0.562267
 documentos 0 10 jaccard sm 0.38 jaccard directo 0.253071 error relativo 0.501551
 documentos 0 11 jaccard sm 0.34 jaccard directo 0.242367 error relativo 0.40283
 documentos 0 12 jaccard sm 0.4 jaccard directo 0.255348 error relativo 0.566485
 documentos 0 13 jaccard sm 0.36 jaccard directo 0.248077 error relativo 0.451161
 documentos 0 14 jaccard sm 0.4 jaccard directo 0.247004 error relativo 0.619402
 documentos 0 15 jaccard sm 0.47 jaccard directo 0.253641 error relativo 0.853009
 documentos 0 16 jaccard sm 0.37 jaccard directo 0.242811 error relativo 0.523819
 documentos 0 17 jaccard sm 0.37 jaccard directo 0.24417 error relativo 0.515335
 documentos 0 18 jaccard sm 0.39 jaccard directo 0.241935 error relativo 0.611997
 documentos 0 19 jaccard sm 0.38 jaccard directo 0.23749 error relativo 0.600066
 documentos 1 2 jaccard sm 0.4 jaccard directo 0.235598 error relativo 0.697806
 documentos 1 3 jaccard sm 0.42 jaccard directo 0.240392 error relativo 0.74714
 documentos 1 4 jaccard sm 0.37 jaccard directo 0.228311 error relativo 0.620597
 documentos 1 5 jaccard sm 0.36 jaccard directo 0.238794 error relativo 0.507575
 documentos 1 6 jaccard sm 0.36 jaccard directo 0.240437 error relativo 0.497271
 documentos 1 7 jaccard sm 0.38 jaccard directo 0.245911 error relativo 0.545275
 documentos 1 8 jaccard sm 0.34 jaccard directo 0.24187 error relativo 0.405709
 documentos 1 9 jaccard sm 0.41 jaccard directo 0.231394 error relativo 0.771868
 documentos 1 10 jaccard sm 0.35 jaccard directo 0.256683 error relativo 0.363548
 documentos 1 11 jaccard sm 0.43 jaccard directo 0.244942 error relativo 0.755515
 documentos 1 12 jaccard sm 0.34 jaccard directo 0.245324 error relativo 0.385921
 documentos 1 13 jaccard sm 0.39 jaccard directo 0.228448 error relativo 0.707167
 documentos 1 14 jaccard sm 0.4 jaccard directo 0.239817 error relativo 0.667939
 documentos 1 15 jaccard sm 0.42 jaccard directo 0.245986 error relativo 0.707409
 documentos 1 16 jaccard sm 0.36 jaccard directo 0.250816 error relativo 0.435313
 documentos 1 17 jaccard sm 0.33 jaccard directo 0.225963 error relativo 0.460415
 documentos 1 18 jaccard sm 0.38 jaccard directo 0.230769 error relativo 0.646664
 documentos 1 19 jaccard sm 0.4 jaccard directo 0.227151 error relativo 0.760938
 documentos 2 3 jaccard sm 0.32 jaccard directo 0.237912 error relativo 0.345033
 documentos 2 4 jaccard sm 0.41 jaccard directo 0.231439 error relativo 0.771524
 documentos 2 5 jaccard sm 0.39 jaccard directo 0.243117 error relativo 0.604165
 documentos 2 6 jaccard sm 0.39 jaccard directo 0.232182 error relativo 0.679714
 documentos 2 7 jaccard sm 0.4 jaccard directo 0.245527 error relativo 0.629145
 documentos 2 8 jaccard sm 0.34 jaccard directo 0.256798 error relativo 0.323999
 documentos 2 9 jaccard sm 0.45 jaccard directo 0.242073 error relativo 0.858937
 documentos 2 10 jaccard sm 0.46 jaccard directo 0.250206 error relativo 0.838485
 documentos 2 11 jaccard sm 0.4 jaccard directo 0.231474 error relativo 0.728053
 documentos 2 12 jaccard sm 0.39 jaccard directo 0.242896 error relativo 0.605622
 documentos 2 13 jaccard sm 0.39 jaccard directo 0.239363 error relativo 0.629321
 documentos 2 14 jaccard sm 0.33 jaccard directo 0.229668 error relativo 0.436857
 documentos 2 15 jaccard sm 0.43 jaccard directo 0.245262 error relativo 0.753222
